Data Medicao,RADIACAO SOLAR MÉDIA DIÁRIA (Kj/m²),RADIACAO SOLAR MÁXIMA DIÁRIA (Kj/m²)
2008-05-17,852.8325833333334,3294.437
2008-05-18,791.9858749999999,3318.384
2008-05-19,952.0612916666663,3278.423
2008-05-20,887.7647916666665,3155.5
2008-05-21,759.0598333333332,3114.198
2008-05-22,932.0692916666667,3219.155
2008-05-23,758.3802083333331,2482.379
2008-05-24,826.95525,3005.328
2008-05-25,864.5328333333333,3119.32
2008-05-26,867.3717499999999,3280.563
2008-05-27,165.952125,1081.096
2008-05-28,752.352375,3193.23
2008-05-29,836.7470416666666,3017.224
2008-05-30,579.1527083333333,2475.326
2008-05-31,468.872875,2391.596
2008-06-01,810.5115217391304,2892.781
2008-06-02,903.4943333333331,3076.371
2008-06-03,775.738875,3254.814
2008-06-04,129.37379166666668,588.28
2008-06-05,752.7622083333332,3008.658
2008-06-06,917.5533181818181,2893.691
2008-06-07,771.5306666666665,3077.739
2008-06-08,352.61870833333336,1359.671
2008-06-09,673.0678333333334,2486.291
2008-06-10,826.1460416666665,3125.401
2008-06-11,875.1674166666667,3122.453
2008-06-12,571.3951249999999,2367.694
2008-06-13,878.6444999999999,3132.439
2008-06-14,473.8594583333334,2003.065
2008-06-15,638.7753749999999,2842.444
2008-06-16,470.83966666666674,2542.656
2008-06-17,412.0096249999999,1646.64
2008-06-18,891.1717916666666,3131.953
2008-06-19,899.8208333333332,3142.411
2008-06-20,678.0579999999999,2926.816
2008-06-21,648.4556249999999,2568.392
2008-06-22,837.9441666666667,2932.817
2008-06-23,755.5104999999999,2958.263
2008-06-24,586.7943333333333,2944.703
2008-06-25,866.1154583333333,3134.414
2008-06-26,868.9881666666666,3138.52
2008-06-27,603.514375,2674.135
2008-06-28,637.3588333333333,2321.932
2008-06-29,657.4687083333334,2374.268
2008-06-30,386.02358333333336,1730.367
2008-07-01,200.97433333333336,781.087
2008-07-02,761.7894166666665,2609.624
2008-07-03,713.7654999999999,2980.569
2008-07-04,807.2303333333333,3068.977
2008-07-05,422.5340833333334,1684.453
2008-07-06,715.2136666666665,2675.831
2008-07-07,702.3816250000001,2524.991
2008-07-08,567.043,2262.292
2008-07-09,644.3505,2577.971
2008-07-10,710.2979166666665,2495.598
2008-07-11,730.5450416666666,2759.262
2008-07-12,704.8276249999999,2736.432
2008-07-13,800.6345833333331,3000.382
2008-07-14,894.0460833333333,2983.692
