Nome: JOAO PESSOA
Codigo Estacao: 82798
Latitude: -7.09527777
Longitude: -34.8486111
Altitude: 9.67
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2013-12-31
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
2008-09-18;9,1;
2008-09-19;8,9;
2008-09-20;8,8;
2008-09-21;9,1;
2008-09-22;9,3;
2008-09-23;8,1;
2008-09-24;8,6;
2008-09-25;8,7;
2008-09-26;9;
2008-09-27;8,7;
2008-09-28;3,9;
2008-09-29;8,5;
2008-09-30;8,3;
2008-10-01;9,3;
2008-10-02;5,3;
2008-10-03;9,1;
2008-10-04;7,8;
2008-10-05;7,8;
2008-10-06;1,7;
2008-10-07;7,7;
2008-10-08;7,6;
2008-10-09;5,4;
2008-10-10;9,1;
2008-10-11;9,2;
2008-10-12;6,5;
2008-10-13;5,5;
2008-10-14;8,3;
2008-10-15;6,1;
2008-10-16;1,8;
2008-10-17;6,9;
2008-10-18;9,3;
2008-10-19;8,4;
2008-10-20;9,6;
2008-10-21;8,8;
2008-10-22;8,9;
2008-10-23;9,5;
2008-10-24;6,3;
2008-10-25;8,9;
2008-10-26;9,9;
2008-10-27;1,7;
2008-10-28;9;
2008-10-29;10,2;
2008-10-30;9,6;
2008-10-31;10;
2008-11-01;10,2;
2008-11-02;7,9;
2008-11-03;8,6;
2008-11-04;8,9;
2008-11-05;6;
2008-11-06;9,3;
2008-11-07;9,8;
2008-11-08;6,9;
2008-11-09;10,3;
2008-11-10;10,1;
2008-11-11;10,1;
2008-11-12;9,5;
2008-11-13;4,7;
2008-11-14;9;
2008-11-15;10,5;
2008-11-16;9,9;
2008-11-17;10,9;
2008-11-18;9,9;
2008-11-19;10,1;
2008-11-20;10,4;
2008-11-21;10,5;
2008-11-22;9,5;
2008-11-23;8,5;
2008-11-24;10;
2008-11-25;8,6;
2008-11-26;8,3;
2008-11-27;10,4;
2008-11-28;9,8;
2008-11-29;9,6;
2008-11-30;9,9;
2008-12-01;9,1;
2008-12-02;9,1;
2008-12-03;9,2;
2008-12-04;9,8;
2008-12-05;9,8;
2008-12-06;10,3;
2008-12-07;5,4;
2008-12-08;9,3;
2008-12-09;5,1;
2008-12-10;,8;
2008-12-11;6,3;
2008-12-12;7,8;
2008-12-13;9,2;
2008-12-14;10,2;
2008-12-15;10,4;
2008-12-16;10;
2008-12-17;9,3;
2008-12-18;10,2;
2008-12-19;10,7;
2008-12-20;4;
2008-12-21;9,8;
2008-12-22;8,4;
2008-12-23;9,2;
2008-12-24;7,6;
2008-12-25;9,8;
2008-12-26;8,6;
2008-12-27;9,7;
2008-12-28;9,7;
2008-12-29;8,9;
2008-12-30;2,4;
2008-12-31;9,9;
2009-01-01;9,8;
2009-01-02;9,6;
2009-01-03;9,6;
2009-01-04;9,3;
2009-01-05;9,8;
2009-01-06;8,9;
2009-01-07;8,8;
2009-01-08;10,1;
2009-01-09;3,5;
2009-01-10;10,8;
2009-01-11;10,6;
2009-01-12;10,7;
2009-01-13;7,9;
2009-01-14;8,9;
2009-01-15;9,8;
2009-01-16;,4;
2009-01-17;7,2;
2009-01-18;9,7;
2009-01-19;8,3;
2009-01-20;8;
2009-01-21;,6;
2009-01-22;7,3;
2009-01-23;8,2;
2009-01-24;9,1;
2009-01-25;10,5;
2009-01-26;10,5;
2009-01-27;9,8;
2009-01-28;9,6;
2009-01-29;3,7;
2009-01-30;0;
2009-01-31;9,1;
2009-02-01;8,1;
2009-02-02;8,8;
2009-02-03;,2;
2009-02-04;4,3;
2009-02-05;4,1;
2009-02-06;9,6;
2009-02-07;9,6;
2009-02-08;9,4;
2009-02-09;10,2;
2009-02-10;8,3;
2009-02-11;6;
2009-02-12;3,1;
2009-02-13;6,7;
2009-02-14;9,9;
2009-02-15;4,6;
2009-02-16;4,7;
2009-02-17;0;
2009-02-18;5,6;
2009-02-19;6,2;
2009-02-20;,3;
2009-02-21;8,4;
2009-02-22;0;
2009-02-23;,2;
2009-02-24;5,5;
2009-02-25;3,2;
2009-02-26;9,3;
2009-02-27;8,9;
2009-02-28;2,4;
2009-03-01;0;
2009-03-02;1,2;
2009-03-03;6,2;
2009-03-04;10,2;
2009-03-05;8,7;
2009-03-06;8,9;
2009-03-07;,5;
2009-03-08;8,9;
2009-03-09;9,6;
2009-03-10;9,9;
2009-03-11;9,7;
2009-03-12;7,3;
2009-03-13;9,1;
2009-03-14;10,5;
2009-03-15;8,2;
2009-03-16;6,3;
2009-03-17;7,2;
2009-03-18;8,6;
2009-03-19;9,2;
2009-03-20;9,6;
2009-03-21;9,7;
2009-03-22;8,5;
2009-03-23;7,3;
2009-03-24;8,4;
2009-03-25;7,4;
2009-03-26;9,3;
2009-03-27;9,3;
2009-03-28;7,1;
2009-03-29;3,8;
2009-03-30;9,8;
2009-03-31;8,8;
2009-04-01;9,1;
2009-04-02;9,4;
2009-04-03;8,9;
2009-04-04;9,2;
2009-04-05;8,3;
2009-04-06;1,1;
2009-04-07;9,2;
2009-04-08;9,6;
2009-04-09;8,7;
2009-04-10;1,9;
2009-04-11;3,8;
2009-04-12;,4;
2009-04-13;3;
2009-04-14;4,5;
2009-04-15;10,1;
2009-04-16;8,2;
2009-04-17;10,4;
2009-04-18;1,4;
2009-04-19;7,8;
2009-04-20;0;
2009-04-21;5;
2009-04-22;,3;
2009-04-23;7,2;
2009-04-24;2,1;
2009-04-25;3,5;
2009-04-26;8;
2009-04-27;0;
2009-04-28;5,1;
2009-04-29;4,4;
2009-04-30;3,6;
2009-05-01;5,2;
2009-05-02;2,6;
2009-05-03;0;
2009-05-04;5,4;
2009-05-05;4;
2009-05-06;8,4;
2009-05-07;7,2;
2009-05-08;4,8;
2009-05-09;7,1;
2009-05-10;8;
2009-05-11;,1;
2009-05-12;7,8;
2009-05-13;3,5;
2009-05-14;9,1;
2009-05-15;8,1;
2009-05-16;0;
2009-05-17;4,1;
2009-05-18;7,4;
2009-05-19;4,9;
2009-05-20;9,2;
2009-05-21;2,2;
2009-05-22;0;
2009-05-23;0;
2009-05-24;,3;
2009-05-25;7;
2009-05-26;0;
2009-05-27;0;
2009-05-28;7,3;
2009-05-29;8;
2009-05-30;5,6;
2009-05-31;7,4;
2009-06-01;0;
2009-06-02;5,6;
2009-06-03;5,4;
2009-06-04;0;
2009-06-05;4;
2009-06-06;6,5;
2009-06-07;5,7;
2009-06-08;6,7;
2009-06-09;2,9;
2009-06-10;,3;
2009-06-11;8,7;
2009-06-12;1,9;
2009-06-13;6,1;
2009-06-14;3,8;
2009-06-15;6,2;
2009-06-16;8;
2009-06-17;9,1;
2009-06-18;6,8;
2009-06-19;6,6;
2009-06-20;6,7;
2009-06-21;6,1;
2009-06-22;1,3;
2009-06-23;2,1;
2009-06-24;3;
2009-06-25;0;
2009-06-26;6,7;
2009-06-27;8,8;
2009-06-28;5,6;
2009-06-29;4,9;
2009-06-30;9,1;
2009-07-01;2;
2009-07-02;8,6;
2009-07-03;7,7;
2009-07-04;,3;
2009-07-05;1,1;
2009-07-06;0;
2009-07-07;2,4;
2009-07-08;7,6;
2009-07-09;6,1;
2009-07-10;6,4;
2009-07-11;8,6;
2009-07-12;3,6;
2009-07-13;2,3;
2009-07-14;8;
2009-07-15;8,2;
2009-07-16;,8;
2009-07-17;2;
2009-07-18;0;
2009-07-19;5,5;
2009-07-20;1,5;
2009-07-21;,1;
2009-07-22;,9;
2009-07-23;7,5;
2009-07-24;9,3;
2009-07-25;,5;
2009-07-26;5,1;
2009-07-27;7,8;
2009-07-28;9,4;
2009-07-29;7,8;
2009-07-30;5,7;
2009-07-31;5,1;
2009-08-01;6,1;
2009-08-02;6,5;
2009-08-03;7,7;
2009-08-04;5,6;
2009-08-05;5,6;
2009-08-06;2,7;
2009-08-07;6,8;
2009-08-08;9,7;
2009-08-09;,4;
2009-08-10;9,2;
2009-08-11;5,9;
2009-08-12;9,1;
2009-08-13;6,9;
2009-08-14;7,2;
2009-08-15;8,1;
2009-08-16;10,2;
2009-08-17;9;
2009-08-18;9,6;
2009-08-19;8,6;
2009-08-20;9,2;
2009-08-21;8,2;
2009-08-22;8,3;
2009-08-23;8,3;
2009-08-24;7,5;
2009-08-25;2;
2009-08-26;1,5;
2009-08-27;10,2;
2009-08-28;9;
2009-08-29;10;
2009-08-30;10;
2009-08-31;9,7;
2009-09-01;2,8;
2009-09-02;7,7;
2009-09-03;4,5;
2009-09-04;8,9;
2009-09-05;9,3;
2009-09-06;9;
2009-09-07;8,4;
2009-09-08;8,2;
2009-09-09;6,9;
2009-09-10;9,7;
2009-09-11;7,8;
2009-09-12;1,2;
2009-09-13;9,2;
2009-09-14;3,8;
2009-09-15;4,2;
2009-09-16;0;
2009-09-17;8,9;
2009-09-18;9,3;
2009-09-19;9;
2009-09-20;3,3;
2009-09-21;9,3;
2009-09-22;6,9;
2009-09-23;8,6;
2009-09-24;9,5;
2009-09-25;9,8;
2009-09-26;9,2;
2009-09-27;5,1;
2009-09-28;1,7;
2009-09-29;9,3;
2009-09-30;9,4;
2009-10-01;10;
2009-10-02;10,2;
2009-10-03;10,1;
2009-10-04;10;
2009-10-05;9,8;
2009-10-06;9,6;
2009-10-07;8,7;
2009-10-08;10,2;
2009-10-09;9,9;
2009-10-10;9,7;
2009-10-11;9,1;
2009-10-12;7,9;
2009-10-13;10;
2009-10-14;10,2;
2009-10-15;10,2;
2009-10-16;9,8;
2009-10-17;9,6;
2009-10-18;7,1;
2009-10-19;9,9;
2009-10-20;10,3;
