Data Medicao,RADIACAO GLOBAL MÁXIMA(Kj/m²)
2008-09-21,3570.189
2008-09-22,3248.382
2008-09-23,3610.378
2008-09-24,3674.788
2008-09-25,3597.655
2008-09-26,3346.539
2008-09-27,3388.123
2008-09-28,2791.501
2008-09-29,3347.328
2008-09-30,3383.728
2008-10-01,3550.073
2008-10-02,2892.319
2008-10-03,2869.82
2008-10-04,2918.102
2008-10-05,3264.19
2008-10-06,3253.608
2008-10-07,3186.447
2008-10-08,3066.34
2008-10-09,3093.528
2008-10-10,3493.222
2008-10-11,3416.916
2008-10-12,3326.677
2008-10-13,3132.246
2008-10-14,3132.712
2008-10-15,3734.914
2008-10-16,2307.692
2008-10-17,3559.621
2008-10-18,3437.522
2008-10-19,3484.015
2008-10-20,2871.613
2008-10-21,3640.615
2008-10-22,3750.315
2008-10-23,3218.449
2008-10-24,3791.824
2008-10-25,3620.529
2008-10-26,3280.639
2008-10-27,3487.855
2008-10-28,3949.954
2008-10-29,3045.751
2008-10-30,3516.868
2008-10-31,3561.224
2008-11-01,3152.556
2008-11-02,3450.586
2008-11-03,2940.156
2008-11-04,3403.652
2008-11-05,3400.653
2008-11-06,3507.282
2008-11-07,3258.558
2008-11-08,3815.294
2008-11-09,3778.239
2008-11-10,3854.149
2008-11-11,2543.301
2008-11-12,2989.565
2008-11-13,3590.562
2008-11-14,3144.604
2008-11-15,3185.289
2008-11-16,2752.781
2008-11-17,3949.81
2008-11-18,2540.85
2008-11-19,3597.634
2008-11-20,3266.451
2008-11-21,3557.432
2008-11-22,3614.359
2008-11-23,3219.851
2008-11-24,3766.32
2008-11-25,2571.966
2008-11-26,2817.716
2008-11-27,3329.607
2008-11-28,3620.305
2008-11-29,2585.402
2008-11-30,3502.336
2008-12-01,3688.318
2008-12-02,3736.858
2008-12-03,3362.226
2008-12-04,3631.336
2008-12-05,3816.322
2008-12-06,3539.58
2008-12-07,2835.03
2008-12-08,3632.845
2008-12-09,2328.974
2008-12-10,2686.603
2008-12-11,3526.237
2008-12-12,3598.775
2008-12-13,3660.918
2008-12-14,3246.3
2008-12-15,3484.518
2008-12-16,3998.595
2008-12-17,3039.995
2008-12-18,3630.108
2008-12-19,3276.203
2008-12-20,2737.284
2008-12-21,3324.695
